Total Points,Strength,Dexterity,Intelligence,Vigor,Constitution,Height,Value
100,50,50,0,0,0,1.920000,32.749957
101,50,51,0,0,0,1.920000,33.304726
102,51,51,0,0,0,1.920000,33.868892
103,51,52,0,0,0,1.920000,34.427780
104,52,52,0,0,0,1.920000,34.995891
105,53,52,0,0,0,1.920000,35.558600
106,53,53,0,0,0,1.920000,36.130358
107,53,54,0,0,0,1.920000,36.696591
108,54,54,0,0,0,1.920000,37.271699
109,54,55,0,0,0,1.920000,37.841164
110,55,55,0,0,0,1.920000,38.419330
111,55,56,0,0,0,1.920000,38.991738
112,56,56,0,0,0,1.920000,39.572674
113,56,57,0,0,0,1.920000,40.147737
114,57,57,0,0,0,1.920000,40.731157
115,57,58,0,0,0,1.920000,41.308595
116,58,58,0,0,0,1.920000,41.894220
117,58,59,0,0,0,1.920000,42.473754
118,59,59,0,0,0,1.920000,43.061306
119,59,60,0,0,0,1.920000,43.642663
120,60,60,0,0,0,1.920000,44.231869
121,60,61,0,0,0,1.920000,44.814781
122,61,61,0,0,0,1.920000,45.405375
123,62,61,0,0,0,1.920000,45.989576
124,62,62,0,0,0,1.920000,46.581294
125,62,63,0,0,0,1.920000,47.166526
126,63,63,0,0,0,1.920000,47.759110
127,63,64,0,0,0,1.920000,48.345118
128,64,64,0,0,0,1.920000,48.938315
129,64,65,0,0,0,1.920000,49.524849
130,65,65,0,0,0,1.920000,50.118413
131,65,66,0,0,0,1.920000,50.705228
132,66,66,0,0,0,1.920000,51.298915
133,66,67,0,0,0,1.920000,51.885774
134,67,67,0,0,0,1.920000,52.479346
135,67,68,0,0,0,1.920000,53.066015
136,68,68,0,0,0,1.920000,53.659242
137,68,69,0,0,0,1.920000,54.245492
138,69,69,0,0,0,1.920000,54.838148
139,69,70,0,0,0,1.920000,55.423758
140,70,70,0,0,0,1.920000,56.015621
141,70,71,0,0,0,1.920000,56.600374
142,71,71,0,0,0,1.920000,57.191231
143,71,72,0,0,0,1.920000,57.774915
144,72,72,0,0,0,1.920000,58.364557
145,72,73,0,0,0,1.920000,58.946968
146,73,73,0,0,0,1.920000,59.535191
147,73,74,0,0,0,1.920000,60.116130
148,74,74,0,0,0,1.920000,60.702737
149,74,75,0,0,0,1.920000,61.282010
150,75,75,0,0,0,1.920000,61.866810
151,75,75,1,0,0,1.920000,62.451222
152,75,75,2,0,0,1.920000,63.035517
153,76,75,2,0,0,1.920000,63.623844
154,76,75,3,0,0,1.920000,64.213356
155,76,75,4,0,0,1.920000,64.802515
156,77,75,4,0,0,1.920000,65.394107
157,77,75,5,0,0,1.920000,65.988169
158,77,75,6,0,0,1.920000,66.581638
159,78,75,6,0,0,1.920000,67.176230
160,78,75,7,0,0,1.920000,67.774282
161,78,75,8,0,0,1.920000,68.371499
162,79,75,8,0,0,1.920000,68.968822
163,79,75,9,0,0,1.920000,69.570295
164,79,75,10,0,0,1.920000,70.170689
165,80,75,10,0,0,1.920000,70.770471
166,80,75,11,0,0,1.920000,71.374791
167,80,76,11,0,0,1.920000,71.978472
168,80,76,12,0,0,1.920000,72.581470
169,81,76,12,0,0,1.920000,73.188485
170,81,76,13,0,0,1.920000,73.795075
171,81,76,14,0,0,1.920000,74.400099
172,82,76,14,0,0,1.920000,75.008954
173,82,76,15,0,0,1.920000,75.617235
174,82,76,16,0,0,1.920000,76.223707
175,83,76,16,0,0,1.920000,76.834126
176,83,77,16,0,0,1.920000,77.444871
177,83,77,17,0,0,1.920000,78.054263
178,84,77,17,0,0,1.920000,78.665993
179,84,77,18,0,0,1.920000,79.278097
180,84,77,19,0,0,1.920000,79.888024
181,85,77,19,0,0,1.920000,80.500794
182,85,77,20,0,0,1.920000,81.113097
183,85,78,20,0,0,1.920000,81.725376
184,86,78,20,0,0,1.920000,82.338929
185,86,78,21,0,0,1.920000,82.953398
186,86,78,22,0,0,1.920000,83.565329
187,87,78,22,0,0,1.920000,84.179410
188,87,78,23,0,0,1.920000,84.793174
189,87,79,23,0,0,1.920000,85.406524
190,88,79,23,0,0,1.920000,86.020878
191,88,79,24,0,0,1.920000,86.636269
192,88,79,25,0,0,1.920000,87.248768
193,89,79,25,0,0,1.920000,87.863150
194,89,80,25,0,0,1.920000,88.477124
195,89,80,26,0,0,1.920000,89.090923
196,90,80,26,0,0,1.920000,89.705089
197,90,80,27,0,0,1.920000,90.319984
198,90,80,28,0,0,1.920000,90.931645
199,91,80,28,0,0,1.920000,91.545354
200,91,81,28,0,0,1.920000,92.159522
